Middeltemperatur (døgn),Midlere lufttrykk i stasjonsnivå (døgn),Middel av middelvind fra hovedobs. (døgn)
2.1,1015.4,3.7
4.6,1004.7,4.3
2.8,999.7,5.1
7.4,998.5,4.9
6.6,1004.6,6.6
5.9,1004,3.2
5.8,1004.6,5
4.4,1009.8,6.3
2.4,1012,5.3
2,1015.2,3.5
1.5,1019.4,2.7
3.2,1021.5,2.7
3.9,1023.6,2.7
4.4,1026,2.3
5.7,1024.8,1.4
5.4,1022.3,2.9
7.4,1024.4,2.1
10.8,1026.7,2.5
12.2,1026.5,2.5
11.2,1021.1,2.9
10.6,1011.2,2.5
10.1,1010.9,2.7
12.4,1011.2,2.7
13.6,1005,4.3
12.6,1003.3,3.4
13.3,1003,4.2
12.6,999.5,3.3
14.2,1008.1,4.2
15.6,1013.8,2.2
15.6,1007.2,3.1
13.9,993.8,3.1
6.7,985.8,5.2
3.8,989.6,3.2
5.1,995.6,4.1
6.6,997.1,3.4
3.8,994.8,5.6
5.4,996.2,3.3
5.5,996.4,3.2
6.5,991,3.7
8.2,992.1,3.1
8.7,1000.1,3.1
7.9,1015.3,5.6
8.2,1025,3.2
9.4,1022.9,2.7
11.2,1020.3,1.8
15.7,1017.2,2.1
14.9,1011.5,3.3
11.6,1004.9,4.8
14.3,1002.6,3.1
12.9,1000.9,4.6
17.6,999.4,4.6
13.6,998.6,3.6
10.7,1000.3,6.8
10.2,994,3.7
12.8,994.7,2.6
11.3,989.4,4.7
10,987.3,3.3
10.2,990.4,4.1
9.5,1002.7,5.4
9.6,1000.3,5.5
11.3,1004.7,4.4
12.9,999.5,5
12.8,1003.3,3.4
13.1,997.4,5.7
12.6,1002.2,5.1
12.1,1001.4,2.4
18.6,1000.6,4.1
13.8,1001.4,2.8
12.5,1001.5,3.2
13,1003.1,6.9
13.1,1008.9,4.4
13.1,1010.5,4.4
10.1,1009.2,7.2
11.5,1001.9,3.6
13.9,1007.9,2.6
18,1006.6,2.3
15.6,1003.6,3.5
14.6,1006.1,6.4
14.9,1003.5,5.2
14.7,999.6,2.2
14.7,994.6,3.6
13.6,1000,5.3
14.9,1008.6,4.1
14.8,1014,3.2
16.4,1017.7,2
14.5,1014.2,2.7
15.8,1008.3,2.2
16.4,1010.8,3.9
17.2,1010.4,3.9
20,1002.1,3.1
18.6,992.2,4.1
17.1,989.4,6
14,998.2,4.7
13,1002.8,4
13.3,996.8,4.7
13.8,997.3,3.8
12.2,989.9,3.2
13.5,995.9,3.8
15.7,1000.4,3.3
16.2,1004.3,3.6
18.7,1003.6,2.9
18.2,1000.9,3.2
17.5,1000.3,3.4
17.2,1001.2,2.7
15.8,1003.7,2.6
16.1,1001.3,3.2
16.2,1002.4,3.8
16.6,1002.4,4.7
15.5,1001.3,4.4
15.9,1001.1,2.2
15.7,1002.2,2.4
16.7,999.8,4.2
15.3,1004.2,4.4
19.1,1005.9,2.6
18.4,1008.9,2.1
19.9,1010,1.9
23.5,1009.5,1.7
23.3,1008,2.6
22.2,1002.7,3.8
23,1001.9,1.7
14.7,1005.7,3.7
13.5,1009.4,2.7
16.9,1008.2,2.3
18.9,1004.8,2.7
18.3,1003,2.9
16.8,1001.5,2.2
15.7,998.2,2.8
15.6,992.7,1.4
16.4,990.8,4.5
16.5,992,3.1
16.6,998.5,2.1
16.3,992.4,5.1
17.3,990.1,7.2
16.9,992.5,5.9
15.6,993.2,3.9
14.6,996.8,3.4
13.6,997.9,3.1
16,996.6,4.4
15.5,991.3,7.8
14.8,991.8,4.1
15,994.1,5.4
15,1002.9,5.5
14.5,1009.5,3.3
13.7,1009,5.8
17.6,1007.2,4.1
17,1014.1,2.7
17.6,1014.1,3.2
18.1,1013,2.3
19.4,1011.4,1.3
17.9,1005.1,2.3
18,1001.2,4.1
16.1,1005.6,7
16.8,1003.1,5.2
16,995,3.7
13.6,1000,2.9
14.3,998.9,3.3
12.1,995.7,3.7
11.3,992.4,3.2
10.6,999.7,3.2
11.1,1002.7,3
10,1012,4.7
12,1007.8,3.9
13.6,1001.4,4
13.7,996.6,4.9
13.3,1002.2,4.8
12.6,1009,4.1
11.6,1009.6,5.6
13.3,990.3,5.9
11.5,996.1,4.2
9.5,995.3,4.7
10.1,1007,3.5
9.2,1014.2,2
13.4,1008.4,3.1
14.5,1006.9,2.4
12.1,1006.7,2.3
10.3,1009.8,2.3
10.3,1004.6,2.4
10.7,1002.9,3.3
11.2,1002.7,2.8
11.2,995.1,3.7
10.8,991.4,2.7
10.7,984.2,2.7
7.8,980.7,3.2
8.2,982.3,3.6
7.1,992.5,4.9
5.3,1004.8,2.3
3.1,1006.8,3.7
2.7,1013.5,1.8
1.7,1015,2.5
2.4,1008.1,1.7
4,990.3,2.1
5.4,986.5,2.8
7,987.5,2
7,983.8,1.8
9.4,983.8,4.7
8.9,994.9,2.6
7.7,999.2,3.4
6.8,1001.8,4.2
5.9,997.1,5.3
7.1,997.1,3
7.2,994.4,3.2
7.4,989.8,2.7
5.3,999.8,5
3.9,1008.5,2.2
8.7,1001.1,6.4
10.2,1001.5,5
10,996,4.1
9.2,991.9,6.3
4,991.8,2.5
2.8,993.7,1.6
2.7,1006.9,1.7
3.1,1016.5,2.4
1.7,1015.1,2.2
6.1,1010.2,2.4
0.7,999.4,1.6
2.1,984.5,4.3
1.2,985.8,6.4
-0.3,991.6,6.3
-2.3,994.4,5.4
-3.4,994.6,4.6
-2.9,997.7,5.1
-2.3,1000.1,6.8
-1.1,1000.3,5.6
-1.5,1003,3.4
-2.4,995.3,5.1
1.7,988.8,3.5
2.2,989.7,2.2
2.3,998,3.2
2.3,1010.3,4
1.9,999.8,5.8
2.3,1001.1,3
1.8,1001.7,5
4.5,997.2,2.4
0.9,1011.3,4.5
4.2,1008.6,4.1
5.8,1004.4,3.2
5.3,1007.5,2.8
3.3,1009,3.7
1.9,1005.5,3.3
1,996.4,3.1
0.7,987.9,4.9
0,977.3,6.9
-1.4,990.5,4.8
-2.4,1004.7,1.3
-1.5,1003.7,3.1
-1.9,1005.7,1.8
1.5,1001.9,3.6
3.8,997.8,4.1
6.6,987.3,9.5
5.4,976.5,3.2
2.2,981.1,2.9
1.6,968.3,4
2.3,975.6,5.7
0.1,997.8,4.8
5.5,984.7,7.8
4,982.3,5
2.2,978.4,2.6
2.3,971.7,2.7
1.4,974.7,2.1
0.5,985.3,2.1
-2.3,990.1,2.5
-3.1,994.1,1.5
-2.7,1001.3,2.7
0.5,986.2,2.9
2.4,977.1,2.3
1.8,980.8,2.9
1.9,988.7,3.1
1.2,992.6,4
-1.1,1001.2,2.2
-3.2,1011.6,2.2
-4.3,1024.7,2.6
0.1,1026.2,4.1
6.1,1009.3,7.9
7.3,996.8,5.6
4.6,1008.7,4.5
5.1,1007.3,5.8
6.2,997.2,8.3
5.3,987.1,7.4
1.4,999.2,4.7
2.3,1008.5,4
5.7,1002,5.7
5.7,997.6,7.3
6.3,990.7,7.6
2,998,3.3
-0.3,1004.1,3.5
5.4,997.4,9.4
4.3,992.2,3.9
2.5,995.7,4.8
5.4,981,9.1
6.4,981.7,8.1
6.5,999.6,6.7
6,998.8,6.3
5.1,995.2,3.5
3.2,1017,3
6,1019.1,5.5
6.3,1011.7,4.5
3,1015.9,2.5
4.2,1007.5,4.1
5.3,997.4,4.6
4.4,998.5,4.6
5.6,995.8,6.3
5,987.9,6.8
2.1,978.2,3.3
0.6,977.7,2.5
-1.1,982.8,1.9
1.2,980.1,2.7
6.3,971,6.7
3.1,982.6,3.6
-1,988.8,2.6
-1.4,996.4,4.5
2.2,1008.7,4.5
6.8,1008.7,2.9
2.5,1013.5,3.1
4,1002.9,5.5
5.4,971.1,12.4
5.1,953,6.5
3,962.8,4.8
3.2,973.1,4.6
1.1,990.4,3
0.2,1001.3,3.2
5.6,992.8,7.3
6.4,969.3,9.9
6,972,10.2
5,983.8,6.1
2.8,990.9,2.5
3.8,987.6,7.8
4.3,985.6,7.7
5.4,974,9.4
4,980.9,4.4
1.8,993.5,2.9
0.5,980.1,6.4
-2.1,985.5,5.4
-4.2,988.3,2.5
-0.1,990.3,2.9
0,981.2,3.5
2.1,967.8,4.9
3.2,978.4,4.9
1.4,991.4,3.3
0.6,992.8,2.9
0,990.5,1.4
-2,994.8,2.8
-1.1,999.7,3.9
5.3,987.7,10.2
4.7,992.5,4.7
3.8,981.8,4.5
5.1,978.8,5.3
3.5,974.5,4
1,993.5,4.8
0.1,1008.1,4.7
5,991.8,9.6
4.5,1001,4
6.7,1001.6,7.8
5.8,999.2,5.4
4.4,1007.4,4.6
2.6,1019.9,3.5
1.6,1027,2.1
1.8,1027.5,4
3.2,1023.3,7.5
4.1,1017.4,9.1
5.7,1014.4,9.4
5.4,1017.4,5.1
4.6,1016.2,3.3
4,1015.6,6.2
1.8,1020.5,4.5
2.3,1018,3.3
5.5,1010,3.9